TYPE,SUBLOCALITY,PRICE,PROPERTYSQFT,BEDS,BATH
Co-op for sale,Queens,269000,700.0,1,1.0
Condo for sale,Richmond County,449000,1440.0,2,2.0
Multi-family home for sale,Bronx,699000,2300.0,8,5.0
Co-op for sale,New York,550000,1250.0,3,2.0
Townhouse for sale,Richmond County,799900,2058.0,3,2.0
House for sale,New York,758000,1200.0,3,1.0
House for sale,Queens,829000,1680.0,4,2.0
Condo for sale,Brooklyn,789000,1230.0,2,2.0
Townhouse for sale,New York,24990000,8500.0,7,6.0
House for sale,Kings County,1439000,1440.0,6,4.0
Multi-family home for sale,Bronx,1050000,3280.0,7,4.0
Co-op for sale,The Bronx,134500,503.0,3,1.0
Townhouse for sale,New York,11900000,9075.0,6,5.0
House for sale,Bronx,270000,2000.0,4,2.0
House for sale,Bronx,270000,2000.0,4,2.0
Foreclosure,Richmond County,605000,1344.0,4,2.0
House for sale,Richmond County,529000,1150.0,3,2.0
Townhouse for sale,Queens,1049000,1224.0,3,1.0
Contingent,Richmond County,675000,1316.0,3,1.0
Condo for sale,New York,3595000,1862.0,3,3.0
Contingent,Richmond County,789000,1871.0,4,2.0
Multi-family home for sale,Queens,998000,1872.0,6,3.0
Multi-family home for sale,Bronx,889000,2280.0,6,2.0
House for sale,Kings County,825000,1820.0,2,2.0
Multi-family home for sale,Kings County,599999,3490.0,6,2.0
House for sale,Kings County,649000,1064.0,3,2.0
Multi-family home for sale,Bronx,989000,3960.0,8,5.0
Condo for sale,The Bronx,357000,1100.0,3,1.0
Multi-family home for sale,Bronx,1099999,2185.0,4,2.0
Multi-family home for sale,Richmond County,589999,1680.0,4,2.0
Multi-family home for sale,New York,6995000,12492.0,20,20.0
Townhouse for sale,New York,22500000,8725.0,5,6.0
House for sale,Richmond County,749000,1332.0,3,2.0
Condo for sale,Queens,499000,1156.0,3,2.0
House for sale,Kings County,899000,1324.0,3,2.0
Co-op for sale,Brooklyn,315000,850.0,2,1.0
House for sale,Richmond County,1999999,5301.0,5,4.0
House for sale,Queens,950000,1746.0,4,3.0
Townhouse for sale,New York,13950000,6798.0,6,6.0
House for sale,Queens,1399000,3375.0,5,3.0
Condo for sale,New York,595000,660.0,3,1.0
House for sale,Kings County,1618000,2200.0,5,2.0
Contingent,Richmond County,748000,1592.0,3,2.0
Multi-family home for sale,Richmond County,1100000,1928.0,3,2.0
Townhouse for sale,New York,3995000,5046.0,8,8.0
Co-op for sale,Brooklyn,659000,440.0,1,1.0
Multi-family home for sale,Queens,1099000,2018.0,6,3.0
Condo for sale,Bronx,319000,1102.0,2,2.0
Multi-family home for sale,Bronx,999000,3168.0,9,3.0
Co-op for sale,Queens,398000,1571.0,3,2.0
Co-op for sale,New York,249000,500.0,3,1.0
Multi-family home for sale,Queens,1299000,2648.0,3,2.0
Townhouse for sale,New York,8950000,6336.0,3,6.0
House for sale,Queens,750000,1500.0,5,3.0
Multi-family home for sale,Kings County,1100000,1916.0,5,3.0
House for sale,Richmond County,1275000,2380.0,3,4.0
House for sale,Kings County,689000,750.0,2,2.0
Multi-family home for sale,Queens,1399000,2500.0,6,5.0
House for sale,Bronx,395000,1089.0,2,2.0
House for sale,Bronx,1250000,2273.0,4,2.0
Co-op for sale,Queens,719000,1440.0,3,2.0
Multi-family home for sale,Bronx,795000,1171.0,3,4.0
Condo for sale,Manhattan,4250000,2054.0,3,4.0
Townhouse for sale,New York,2500000,2201.0,3,4.0
Multi-family home for sale,Kings County,850000,1600.0,3,3.0
House for sale,Bronx,1350000,2948.0,4,2.0
House for sale,Richmond County,929000,2200.0,5,2.0
House for sale,Queens,879000,1630.0,4,3.0
Townhouse for sale,New York,7500000,4250.0,4,2.0
House for sale,Richmond County,649000,980.0,3,2.0
House for sale,Richmond County,499999,800.0,2,1.0
Multi-family home for sale,Richmond County,999998,2720.0,4,4.0
Co-op for sale,Brooklyn,258888,650.0,1,1.0
Townhouse for sale,Bronx,660000,1283.0,3,2.0
Townhouse for sale,Richmond County,318888,1270.0,2,2.0
Condo for sale,New York,747000,747.0,11,1.0
Co-op for sale,The Bronx,385000,1100.0,2,2.0
Co-op for sale,Queens,349000,1017.0,1,1.0
House for sale,Queens,968000,1344.0,3,2.0
Condo for sale,Staten Island,238000,650.0,1,1.0
Multi-family home for sale,Queens,1200000,5712.0,6,6.0
House for sale,Queens,911600,1596.0,3,2.0
House for sale,Bronx,598000,1144.0,3,2.0
Condo for sale,Queens,472000,700.0,1,1.0
Multi-family home for sale,Richmond County,3995000,12200.0,3,1.0
Condo for sale,Queens,472000,700.0,1,1.0
House for sale,Bronx,598000,1144.0,3,2.0
House for sale,Kings County,1085000,1200.0,5,3.0
Multi-family home for sale,Kings County,680000,1535.0,3,2.0
Condo for sale,Bronx,200000,637.0,1,1.0
Co-op for sale,Queens,210000,1000.0,2,1.0
Townhouse for sale,Richmond County,525000,996.0,2,2.0
Multi-family home for sale,Staten Island,1799000,5400.0,3,1.0
Townhouse for sale,New York,1900000,5000.0,9,5.0
House for sale,Queens,519000,1200.0,3,2.0
House for sale,Richmond County,728900,960.0,4,1.0
Pending,Richmond County,2300000,4346.0,6,4.0
Co-op for sale,Queens,299999,1300.0,2,2.0
Pending,Kings County,1800000,2832.0,7,4.0
Pending,Richmond County,2300000,4346.0,6,4.0
Pending,Kings County,1800000,2832.0,7,4.0
Co-op for sale,Queens,299999,1300.0,2,2.0
Condo for sale,Brooklyn,599000,1095.0,2,2.0
Pending,Kings County,7500000,3050.0,3,4.0
House for sale,Richmond County,1288888,1672.0,3,4.0
Multi-family home for sale,Kings County,1299999,3448.0,8,4.0
House for sale,Richmond County,1399999,2700.0,3,2.0
House for sale,Bronx,725000,2410.0,3,2.0
House for sale,Kings County,639000,862.0,2,2.0
House for sale,Queens,950000,2060.0,4,4.0
Condo for sale,New York,12500000,4000.0,3,2.0
Co-op for sale,Bronx,279000,1400.0,3,1.0
House for sale,Kings County,1725000,1508.0,3,2.0
Multi-family home for sale,Richmond County,1698000,3620.0,4,4.0
House for sale,Richmond County,438000,1354.0,2,2.0
Co-op for sale,Queens,100000,512.0,3,1.0
Condo for sale,Queens,625000,995.0,2,2.0
House for sale,Kings County,350000,1520.0,3,1.0
Townhouse for sale,New York,23000000,7058.0,5,6.0
House for sale,Queens,599000,1208.0,3,2.0
Co-op for sale,The Bronx,279900,900.0,1,1.0
Co-op for sale,The Bronx,165000,875.0,1,1.0
Condo for sale,Queens,625000,825.0,2,1.0
Co-op for sale,The Bronx,279900,900.0,1,1.0
Townhouse for sale,New York,23000000,7058.0,5,6.0
Pending,Queens,1970000,3111.0,4,4.0
Multi-family home for sale,Kings County,580000,1780.0,5,2.0
Condo for sale,Brooklyn,979000,1272.0,3,2.0
House for sale,Queens,1699888,2275.0,3,3.0
House for sale,Bronx,499000,1752.0,4,2.0
Multi-family home for sale,Queens,1250000,3312.0,6,3.0
Co-op for sale,Brooklyn,245000,900.0,2,1.0
Townhouse for sale,Kings County,5800000,6360.0,7,5.0
House for sale,Richmond County,2350000,4270.0,5,4.0
Co-op for sale,New York,425000,450.0,3,1.0
House for sale,Richmond County,799000,2340.0,3,2.0
Multi-family home for sale,Kings County,725000,1700.0,4,2.0
Co-op for sale,New York,3695000,1697.0,2,2.0
Pending,Queens,3100000,3600.0,4,4.0
House for sale,Kings County,1199000,1840.0,4,1.0
Condo for sale,New York,28000000,5000.0,4,4.0
Co-op for sale,The Bronx,99000,850.0,1,1.0
House for sale,Queens,399000,1601.0,3,1.0
Condo for sale,New York,1300000,1140.0,2,2.0
Condo for sale,Brooklyn,558000,751.0,1,1.0
House for sale,Queens,1280000,2340.0,4,2.0
Co-op for sale,Riverdale,429000,1450.0,2,2.0
Condo for sale,Staten Island,399900,853.0,2,2.0
House for sale,Richmond County,499900,1040.0,3,1.0
Co-op for sale,Riverdale,429000,1450.0,2,2.0
Multi-family home for sale,Kings County,2489000,2334.0,4,4.0
Condo for sale,Staten Island,255500,950.0,1,1.0
House for sale,New York,30000000,6000.0,5,6.0
Multi-family home for sale,Kings County,471300,2175.0,4,2.0
Condo for sale,New York,9450000,3918.0,2,3.0
House for sale,Kings County,1089000,1720.0,4,2.0
Co-op for sale,Brooklyn,220000,500.0,1,1.0
Townhouse for sale,New York,9950000,8000.0,10,10.0
Co-op for sale,Queens,295000,950.0,2,1.0
House for sale,Richmond County,1375000,2704.0,5,4.0
Co-op for sale,Brooklyn,399000,1050.0,2,2.0
Co-op for sale,The Bronx,219999,800.0,2,1.0
House for sale,Richmond County,639000,1856.0,4,2.0
Contingent,Richmond County,750000,1240.0,4,4.0
House for sale,Richmond County,499999,1763.0,3,2.0
Townhouse for sale,Queens,1268000,1513.0,3,2.0
House for sale,Kings County,1899000,2800.0,7,4.0
Co-op for sale,Queens,888000,1600.0,3,2.0
Multi-family home for sale,Kings County,2100000,7200.0,20,8.0
House for sale,Richmond County,2900000,6707.0,5,5.0
House for sale,Kings County,3200000,2950.0,4,4.0
House for sale,Kings County,1175000,1192.0,3,2.0
Contingent,Kings County,999999,1880.0,3,2.0
House for sale,Queens,1448000,2000.0,5,4.0
House for sale,Kings County,2950000,5436.0,6,5.0
Co-op for sale,Queens,150000,600.0,3,1.0
Condo for sale,Brooklyn,354900,673.0,2,1.0
House for sale,Queens,969000,1776.0,3,2.0
Condo for sale,Kings County,530000,538.0,1,1.0
House for sale,Queens,3900000,7723.0,5,6.0
House for sale,Bronx,450000,1122.0,3,2.0
Condo for sale,Richmond County,475000,1296.0,2,1.0
Co-op for sale,The Bronx,125000,600.0,3,1.0
Co-op for sale,New York,2200000,2195.0,3,3.0
House for sale,Queens,215000,1509.0,3,1.0
House for sale,Richmond County,2050000,5600.0,6,6.0
Co-op for sale,Bronx,279000,1050.0,2,2.0
Condo for sale,Brooklyn,785000,968.0,2,2.0
House for sale,Richmond County,669000,1312.0,3,2.0
Multi-family home for sale,Kings County,3650000,2880.0,4,4.0
Townhouse for sale,New York,6700000,3740.0,4,4.0
Multi-family home for sale,Richmond County,530000,1672.0,2,2.0
Condo for sale,Brooklyn,1700000,1580.0,2,2.0
Co-op for sale,Brooklyn,339000,1085.0,1,1.0
House for sale,Kings County,800000,1224.0,3,2.0
Co-op for sale,The Bronx,189000,700.0,1,1.0
Contingent,Richmond County,835000,2050.0,5,2.0
House for sale,New York,999999,1198.0,2,2.0
Condo for sale,Queens,575000,877.0,3,2.0
Townhouse for sale,New York,7950000,3397.0,4,2.0
Pending,The Bronx,324900,1100.0,2,2.0
Multi-family home for sale,Kings County,1850000,5250.0,12,8.0
Condo for sale,New York,40000000,7488.0,5,6.0
Pending,The Bronx,324900,1100.0,2,2.0
Multi-family home for sale,Kings County,1850000,5250.0,12,8.0
Co-op for sale,The Bronx,175000,800.0,1,1.0
Pending,New York,850000,775.0,2,1.0
Townhouse for sale,Kings County,5995000,4000.0,6,4.0
House for sale,New York,4200000,4480.0,5,4.0
House for sale,Kings County,1848000,3676.0,6,4.0
Co-op for sale,Brooklyn,285000,750.0,1,1.0
Multi-family home for sale,Queens,849000,2460.0,5,3.0
House for sale,Bronx,549000,1250.0,3,2.0
Co-op for sale,Queens,729000,1700.0,2,2.0
House for sale,Bronx,4900000,9000.0,8,6.0
Multi-family home for sale,Bronx,600000,1728.0,4,2.0
House for sale,Queens,599000,1340.0,3,1.0
Multi-family home for sale,Kings County,599000,2268.0,5,2.0
Condo for sale,Brooklyn,725000,1185.0,3,2.0
Multi-family home for sale,Kings County,1295000,2600.0,3,2.0
Multi-family home for sale,Richmond County,798888,1500.0,3,2.0
House for sale,Queens,529000,1800.0,3,1.0
Multi-family home for sale,Richmond County,999998,2400.0,3,4.0
Pending,New York,499000,615.0,1,1.0
Multi-family home for sale,Richmond County,1550000,3000.0,12,7.0
Contingent,Richmond County,759000,1424.0,3,4.0
Co-op for sale,New York,245000,260.0,3,1.0
Multi-family home for sale,Kings County,1249000,1548.0,5,3.0
Condo for sale,Staten Island,455000,939.0,2,1.0
Multi-family home for sale,Kings County,999900,2024.0,4,2.0
House for sale,Richmond County,395000,666.0,2,1.0
Condo for sale,New York,620000,430.0,1,1.0
Multi-family home for sale,Richmond County,1295000,3264.0,4,4.0
Condo for sale,Brooklyn,849000,1241.0,3,2.0
Co-op for sale,New York,8995000,5500.0,5,4.0
Condo for sale,New York,2995000,1452.0,2,2.0
Condo for sale,Queens,495000,800.0,2,1.0
House for sale,Richmond County,675000,1222.0,3,2.0
Condo for sale,New York,999000,600.0,3,1.0
Condo for sale,Kings County,2250000,1334.0,2,2.0
Multi-family home for sale,Bronx,1299000,3720.0,9,4.0
Condo for sale,Coney Island,429000,640.0,1,1.0
Townhouse for sale,New York,10995000,9000.0,7,6.0
Townhouse for sale,Kings County,2050000,3000.0,5,4.0
Pending,New York,1299000,1456.0,4,2.0
House for sale,Kings County,1075000,2200.0,6,2.0
Co-op for sale,Brooklyn,174000,800.0,1,1.0
House for sale,Richmond County,1193000,1518.0,2,2.0
Townhouse for sale,New York,12500000,10500.0,9,8.0
House for sale,Kings County,898000,2828.0,5,4.0
Multi-family home for sale,Queens,1288000,1500.0,5,3.0
House for sale,Richmond County,1749999,2600.0,4,4.0
Condo for sale,Queens,575000,1253.0,2,2.0
Condo for sale,New York,5100000,2183.0,4,2.0
Condo for sale,New York,2000000,1321.0,1,2.0
Co-op for sale,The Bronx,170000,850.0,2,1.0
Co-op for sale,Brooklyn,1295000,2100.0,2,2.0
House for sale,Richmond County,749000,1332.0,3,2.0
Multi-family home for sale,Kings County,1848000,3640.0,3,4.0
Co-op for sale,Brooklyn,209900,780.0,1,1.0
Co-op for sale,The Bronx,199900,925.0,1,1.0
House for sale,Kings County,919000,1565.0,3,2.0
Multi-family home for sale,Richmond County,1050000,3305.0,4,4.0
Co-op for sale,The Bronx,289999,830.0,1,1.0
Townhouse for sale,Kings County,7750000,3375.0,3,4.0
Multi-family home for sale,Kings County,1998000,3192.0,6,3.0
Condo for sale,New York,1250000,1281.0,3,2.0
Condo for sale,Queens,680000,1058.0,2,2.0
House for sale,Queens,2098000,1200.0,5,4.0
Co-op for sale,Brooklyn,899000,1300.0,2,2.0
Co-op for sale,Queens,169000,850.0,1,1.0
Multi-family home for sale,Kings County,1499000,2280.0,5,2.0
Pending,Brooklyn,395000,381.0,3,1.0
Co-op for sale,Queens,169000,850.0,1,1.0
Pending,Brooklyn,395000,381.0,3,1.0
Townhouse for sale,Richmond County,499000,1400.0,3,2.0
House for sale,Richmond County,649000,1120.0,4,2.0
Co-op for sale,Brooklyn,335000,756.0,1,1.0
Condo for sale,Brooklyn,1495000,1098.0,2,2.0
Multi-family home for sale,Bronx,980000,3068.0,4,4.0
House for sale,Kings County,688000,1344.0,3,2.0
Pending,Queens,999888,1900.0,4,2.0
Co-op for sale,New York,375000,500.0,1,1.0
Condo for sale,Queens,568000,1253.0,2,2.0
Multi-family home for sale,Richmond County,1153000,3980.0,4,4.0
Co-op for sale,Kings County,349000,800.0,1,1.0
Multi-family home for sale,Kings County,2999990,3600.0,5,6.0
Townhouse for sale,Queens,899000,1400.0,3,2.0
House for sale,Richmond County,449999,1217.0,4,3.0
Foreclosure,Queens,886545,2116.0,6,4.0
Townhouse for sale,Richmond County,495000,1280.0,3,2.0
House for sale,Richmond County,749000,2150.0,4,3.0
House for sale,Queens,875000,2129.0,4,3.0
Condo for sale,New York,849000,720.0,2,1.0
Pending,The Bronx,110000,650.0,1,1.0
Pending,Brooklyn,299999,650.0,2,1.0
Co-op for sale,Brooklyn,549000,1200.0,3,1.0
Co-op for sale,Kings County,445000,1250.0,3,2.0
Contingent,Richmond County,459000,1188.0,2,1.0
House for sale,Richmond County,399998,1252.0,4,2.0
Condo for sale,Brooklyn,9500000,3655.0,4,4.0
Pending,Kings County,999000,1957.0,4,2.0
House for sale,Kings County,650000,1482.0,4,2.0
House for sale,Richmond County,880000,2100.0,3,4.0
House for sale,Queens,1350000,2082.0,5,3.0
House for sale,Queens,1350000,2082.0,5,3.0
House for sale,Richmond County,880000,2100.0,3,4.0
Condo for sale,Brooklyn,1100000,807.0,2,1.0
Co-op for sale,Bronx,259000,950.0,2,1.0
Multi-family home for sale,Kings County,1699999,2754.0,6,3.0
House for sale,Bronx,3400000,6290.0,6,6.0
Condo for sale,New York,3345000,1875.0,2,2.0
House for sale,Queens,897888,1260.0,3,2.0
House for sale,Kings County,575000,1604.0,4,2.0
Condo for sale,New York,3345000,1875.0,2,2.0
House for sale,Bronx,3400000,6290.0,6,6.0
House for sale,Kings County,575000,1604.0,4,2.0
House for sale,Queens,897888,1260.0,3,2.0
House for sale,Queens,2100000,3512.0,4,3.0
House for sale,Richmond County,1080000,3600.0,6,3.0
Condo for sale,Staten Island,378888,718.0,1,1.0
Condo for sale,New York,750000,1027.0,3,2.0
House for sale,Richmond County,698888,1440.0,3,2.0
Condo for sale,Brooklyn,850000,626.0,1,1.0
Townhouse for sale,Kings County,2999999,2800.0,4,3.0
Townhouse for sale,Kings County,2025000,1500.0,2,2.0
Townhouse for sale,Kings County,2695000,1950.0,3,2.0
Co-op for sale,New York,395000,550.0,1,1.0
Co-op for sale,New York,699000,800.0,2,1.0
House for sale,Richmond County,689000,1484.0,3,2.0
Condo for sale,New York,2550000,1525.0,3,2.0
Townhouse for sale,New York,5500000,5925.0,8,6.0
House for sale,New York,1680000,3536.0,1,1.0
Condo for sale,New York,799000,684.0,1,1.0
House for sale,Richmond County,680000,2200.0,3,2.0
Co-op for sale,New York,1650000,1000.0,1,2.0
Condo for sale,New York,6750000,3000.0,3,3.0
House for sale,Kings County,580000,2940.0,6,3.0
Townhouse for sale,Kings County,700000,2266.0,4,2.0
House for sale,Richmond County,550000,1410.0,3,2.0
Townhouse for sale,Richmond County,315000,1344.0,3,2.0
Condo for sale,Brooklyn,1695000,1117.0,2,2.0
Townhouse for sale,New York,2000000,3024.0,5,3.0
Co-op for sale,Brooklyn,249999,750.0,2,1.0
House for sale,Kings County,220000,1396.0,3,1.0
Multi-family home for sale,Kings County,1150000,4125.0,12,6.0
House for sale,Richmond County,799999,2288.0,5,4.0
Condo for sale,New York,2800000,1188.0,2,2.0
Co-op for sale,Brooklyn,311000,780.0,1,1.0
Condo for sale,Brooklyn,649000,804.0,3,2.0
Co-op for sale,The Bronx,159000,800.0,1,1.0
House for sale,Kings County,1148000,1890.0,3,2.0
Co-op for sale,Kings County,669000,1480.0,3,2.0
Co-op for sale,Brooklyn,305000,750.0,1,1.0
House for sale,Kings County,1375000,1960.0,3,2.0
Co-op for sale,Bronx,339000,906.0,2,2.0
Condo for sale,New York,849500,975.0,2,2.0
Contingent,Staten Island,379000,1200.0,4,1.0
Condo for sale,Queens,699000,967.0,2,2.0
Multi-family home for sale,Bronx,1250000,3234.0,9,3.0
Condo for sale,New York,999000,1262.0,2,2.0
House for sale,Queens,669900,1376.0,3,2.0
Pending,Queens,779000,2000.0,5,3.0
Co-op for sale,Brooklyn,299000,750.0,1,1.0
House for sale,Kings County,988000,3244.0,5,2.0
Co-op for sale,Queens,279000,810.0,2,1.0
House for sale,Queens,988000,1311.0,3,3.0
Co-op for sale,New York,735000,800.0,1,1.0
House for sale,Bronx,968000,2550.0,4,2.0
Co-op for sale,The Bronx,320000,1200.0,2,2.0
Co-op for sale,Queens,228888,900.0,1,1.0
Multi-family home for sale,Bronx,1430000,2840.0,6,4.0
Co-op for sale,Brooklyn,699000,1100.0,2,1.0
House for sale,Kings County,699000,1296.0,3,2.0
Co-op for sale,New York,2000000,1800.0,3,2.0
Co-op for sale,Queens,538888,1500.0,3,2.0
Townhouse for sale,Kings County,2450000,2982.0,5,5.0
House for sale,Richmond County,574999,1040.0,3,2.0
House for sale,Queens,1499888,2688.0,4,3.0
Co-op for sale,Brooklyn,270000,275.0,3,1.0
House for sale,Bronx,675000,1832.0,4,3.0
Co-op for sale,The Bronx,149000,750.0,1,1.0
Co-op for sale,The Bronx,299999,863.0,2,1.0
Co-op for sale,The Bronx,536000,1200.0,2,2.0
House for sale,New York,19499999,10000.0,4,4.0
Townhouse for sale,Kings County,6995000,3400.0,4,4.0
House for sale,Kings County,799000,2050.0,3,2.0
Condo for sale,New York,4000000,3704.0,4,4.0
Co-op for sale,The Bronx,165000,625.0,1,1.0
Condo for sale,Brooklyn,1475000,1048.0,2,2.0
Condo for sale,New York,595000,721.0,3,1.0
Townhouse for sale,New York,3500000,6201.0,10,8.0
Multi-family home for sale,Queens,1090000,4875.0,12,6.0
Pending,Kings County,2499000,4500.0,6,4.0
House for sale,Bronx,699999,2218.0,5,2.0
House for sale,Queens,899000,1672.0,4,2.0
House for sale,Richmond County,549000,1152.0,3,2.0
Townhouse for sale,Kings County,3700000,2400.0,6,4.0
House for sale,Richmond County,768000,1870.0,5,2.0
House for sale,Richmond County,949000,2476.0,4,2.0
Multi-family home for sale,Bronx,849000,4428.0,8,3.0
Multi-family home for sale,New York,750000,630.0,1,1.0
House for sale,The Bronx,638000,1728.0,3,2.0
Co-op for sale,Queens,239000,801.0,1,1.0
Townhouse for sale,New York,6999500,4065.0,5,4.0
Multi-family home for sale,Kings County,1075000,2000.0,7,3.0
House for sale,New York,6995000,5000.0,5,4.0
Co-op for sale,Kings County,349000,800.0,2,1.0
Condo for sale,Bronx,215000,789.0,2,1.0
House for sale,Kings County,1099000,2700.0,3,2.0
Townhouse for sale,New York,2900000,1979.0,3,3.0
Condo for sale,Bronx,215000,789.0,2,1.0
Co-op for sale,Kings County,349000,800.0,2,1.0
Pending,Queens,555000,1504.0,3,1.0
Condo for sale,Brooklyn,14995000,8500.0,6,6.0
House for sale,Richmond County,850000,1152.0,3,2.0
Contingent,Richmond County,1175000,2774.0,3,3.0
Condo for sale,Queens,749000,879.0,1,2.0
House for sale,New York,13000000,6000.0,5,4.0
Townhouse for sale,Staten Island,549999,1677.0,3,2.0
Condo for sale,The Bronx,365000,920.0,3,2.0
Condo for sale,Brooklyn,695000,845.0,2,2.0
Condo for sale,Brooklyn,699000,1779.0,3,2.0
Co-op for sale,New York,1075000,1250.0,2,2.0
Pending,New York,998000,1600.0,3,2.0
Co-op for sale,The Bronx,165000,550.0,3,1.0
Condo for sale,New York,779000,517.0,1,1.0
Condo for sale,New York,1399999,1041.0,2,2.0
House for sale,Richmond County,285000,1536.0,3,1.0
Townhouse for sale,Kings County,6295000,4650.0,4,4.0
Condo for sale,New York,11500000,4908.0,6,7.0
Condo for sale,Brooklyn,199999,750.0,1,1.0
Condo for sale,Queens,569000,490.0,1,1.0
Pending,The Bronx,345000,975.0,2,1.0
Co-op for sale,The Bronx,183000,831.0,1,1.0
Condo for sale,The Bronx,1995000,3075.0,5,4.0
Townhouse for sale,Kings County,2250000,2105.0,5,3.0
Condo for sale,Richmond County,650000,1632.0,3,2.0
Multi-family home for sale,Bronx,785000,3388.0,7,3.0
House for sale,Richmond County,2599999,6353.0,6,6.0
Co-op for sale,Queens,1850000,3000.0,5,3.0
Condo for sale,Queens,435000,661.0,1,1.0
Pending,Bronx,875000,2340.0,6,2.0
Co-op for sale,New York,2250000,2025.0,3,2.0
Condo for sale,New York,799000,922.0,2,2.0
Townhouse for sale,New York,12000000,5227.0,10,10.0
Co-op for sale,The Bronx,205000,1000.0,1,1.0
House for sale,Kings County,897000,1664.0,3,2.0
Townhouse for sale,Kings County,1999000,3000.0,5,4.0
Multi-family home for sale,Bronx,1215000,5250.0,13,7.0
House for sale,Kings County,1250000,2110.0,3,2.0
Townhouse for sale,Kings County,9000000,17860.0,5,4.0
Co-op for sale,Queens,575000,1350.0,3,2.0
Townhouse for sale,New York,19995000,11110.0,11,11.0
Townhouse for sale,New York,12995000,4100.0,5,4.0
Pending,New York,1245000,2388.0,4,3.0
Condo for sale,Queens,798000,1190.0,2,2.0
House for sale,Bronx,475000,1790.0,5,2.0
Condo for sale,Queens,399000,616.0,1,1.0
House for sale,Queens,780000,1344.0,3,3.0
Condo for sale,Staten Island,450000,776.0,1,1.0
Townhouse for sale,New York,6900000,6060.0,10,10.0
House for sale,Richmond County,765000,1888.0,3,4.0
Co-op for sale,Queens,399000,1492.0,3,2.0
Multi-family home for sale,Kings County,1388888,2160.0,6,3.0
House for sale,Kings County,948000,1492.0,4,2.0
Condo for sale,Queens,550000,720.0,1,1.0
Co-op for sale,Queens,549999,1020.0,3,1.0
Townhouse for sale,Kings County,2295000,4043.0,5,4.0
Multi-family home for sale,Queens,799000,2200.0,6,4.0
Condo for sale,The Bronx,290900,850.0,2,1.0
Condo for sale,The Bronx,474900,1054.0,2,2.0
Condo for sale,Brooklyn,7995000,2789.0,3,4.0
Condo for sale,Brooklyn,480000,506.0,1,1.0
House for sale,Bronx,1249000,2400.0,3,4.0
House for sale,Kings County,635000,1200.0,3,2.0
House for sale,Brooklyn,1759000,2100.0,3,2.0
Townhouse for sale,New York,17995000,8068.0,6,7.0
Townhouse for sale,Kings County,2175000,3317.0,5,3.0
Condo for sale,Richmond County,318000,638.0,1,1.0
Multi-family home for sale,Bronx,875000,2034.0,4,2.0
Multi-family home for sale,Richmond County,739900,2000.0,4,2.0
Condo for sale,Brooklyn,275000,969.0,2,2.0
Townhouse for sale,Kings County,1750000,5000.0,9,8.0
House for sale,New York,12495000,7825.0,4,2.0
Pending,Brooklyn,695000,1200.0,2,2.0
Townhouse for sale,New York,3450000,4400.0,6,4.0
Co-op for sale,Queens,435000,925.0,2,1.0
Co-op for sale,The Bronx,220000,922.0,2,1.0
House for sale,New York,1988800,2071.0,3,4.0
Co-op for sale,Queens,135000,792.0,1,1.0
Co-op for sale,Queens,468000,1200.0,2,1.0
Townhouse for sale,New York,5999999,4375.0,4,4.0
Co-op for sale,Queens,318000,748.0,1,1.0
Condo for sale,Queens,649000,705.0,2,1.0
House for sale,Kings County,1875000,1496.0,3,2.0
House for sale,Kings County,1350000,1584.0,3,2.0
Co-op for sale,New York,3345000,3000.0,4,4.0
House for sale,Richmond County,799000,1816.0,3,2.0
Condo for sale,New York,5000000,2162.0,3,3.0
Pending,Brooklyn,464998,1657.0,2,2.0
Condo for sale,New York,5250000,1757.0,3,3.0
Co-op for sale,New York,1995000,1200.0,2,2.0
Condo for sale,The Bronx,504000,1004.0,3,2.0
Co-op for sale,New York,1995000,1200.0,2,2.0
Pending,Brooklyn,464998,1657.0,2,2.0
Condo for sale,New York,5250000,1757.0,3,3.0
Pending,Richmond County,699000,864.0,3,2.0
Multi-family home for sale,Bronx,949000,2745.0,7,3.0
Pending,Kings County,1488000,1464.0,2,2.0
Foreclosure,Richmond County,800000,1584.0,5,2.0
Co-op for sale,Brooklyn,319999,660.0,1,1.0
Condo for sale,Brooklyn,999000,1301.0,3,2.0
Co-op for sale,Queens,475000,950.0,1,1.0
House for sale,Kings County,479900,1088.0,3,2.0
Condo for sale,Richmond County,615000,1568.0,2,4.0
House for sale,Kings County,1150000,1700.0,3,2.0
Condo for sale,Queens,585000,869.0,1,2.0
House for sale,Kings County,720000,936.0,4,2.0
House for sale,Richmond County,659000,1468.0,3,2.0
Co-op for sale,The Bronx,249000,900.0,2,1.0
Co-op for sale,New York,1495000,1650.0,3,2.0
Co-op for sale,Queens,295000,980.0,1,2.0
Pending,Kings County,699000,1619.0,4,4.0
Co-op for sale,Brooklyn,289000,750.0,1,1.0
Co-op for sale,The Bronx,187000,1076.0,4,1.0
Townhouse for sale,New York,3500000,4952.0,8,7.0
Townhouse for sale,New York,4995000,4000.0,6,6.0
Co-op for sale,Queens,689000,1500.0,3,2.0
Townhouse for sale,Kings County,2150000,2940.0,5,3.0
House for sale,Richmond County,889000,2052.0,3,2.0
Co-op for sale,Brooklyn,260000,800.0,1,1.0
Condo for sale,New York,4200000,2584.0,3,3.0
Condo for sale,Queens,749000,908.0,1,2.0
Contingent,Richmond County,639000,1360.0,3,2.0
